User Name,Date of Review,Review Content,Rating,Overall Rating,Food Rating,Service Rating,Ambience Rating
HEIDI,"Dined on October 19, 2024","The food was really good. My colleague really loved his pork chop. The Caesar salad was big and fresh. The clam chowder, so-so. I guess I had high expectations for New England clam chowder since the restaurant is in New Haven, Connecticut. The only reason I’m not rating it 5 stars is because when the server asked if we wanted still or sparkling water, there was no mention that the still water would come in a bottle and cost 9 dollars.
Read more",4 stars,Overall 4,Food 5,Service 5,Ambience 5
Stephen,"Dined on October 13, 2024",A fine restaurant located in a  very good hotel . Large windows with street views and a professional and yet easygoing staff.  Excellent food at a fine dining level.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Licia,"Dined on October 12, 2024","Food is always healthy, delicious and nicely presented.  Margarita was the best I’ve had in a long time The dining room is cozy and welcoming. The staff are very courteous. Service occasionally can be slow at dinner time. All in all, it’s a gratifying experience with consistent level of value and quality. This is our go to place for breakfast, lunch and dinner!",5 stars,Overall 5,Food 5,Service 4,Ambience 4
Sarita,"Dined on October 6, 2024","We LOVED everything! Server was attentive, food was amazing. Everything came out fast.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Michael,"Dined on September 21, 2024",Overall a tasty meal in a very nice environment. Only complaint was the gluten free blueberry salad with chicken definitely left my celiac wife feeling quite ill. Won't be able to go again!,4 stars,Overall 4,Food 4,Service 4,Ambience 5
Catherine,"Dined on August 4, 2024","LOVE HEIRLOOM! I dined with my two best friends and we had a wonderful time. The ambiance is beautiful,  the food is delicious, highly reccomened the burratta and fingerling potatoes! The fried rice with salmon was outstanding also! We each had a few cocktails each, my favorite was the Blueberry Brumble! The service was on point and the staff was very kind! The clean restroom is also a plus. I will be bringing my husband there for a date night next time ! 10/10
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on July 22, 2024","Dined for breakfast on a weekday, just as the restaurant opened. Although a few cuts of bacon served were cooked unevenly, delicious. The assorted fruit & pancakes were nothing extraordinary, and requested orange juice was forgotten by a team member until requested again to a separate team member. Dining experience could be considered as a standard menu with moderate tastes.
Read more",2 stars,Overall 2,Food 2,Service 2,Ambience 4
OpenTable Diner,"Dined on July 21, 2024","Slightly overpriced for the food quality. The snapper was dry, but scallops were delicious. We had a pie for dessert and have had better pies from the grocery store so that left us disappointed. Nice selection of cocktails and mocktails. Staff was friendly.",4 stars,Overall 4,Food 3,Service 3,Ambience 4
FourSeasonsLover,"Dined on July 16, 2024","Nice surrounding. Good food — including the veggie burger, tuna melt and fish and chips ordered by our party.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on July 14, 2024","Beautiful, fresh brunch meals! Loved the lemonade, too!",5 stars,Overall 5,Food 5,Service 4,Ambience 5
OpenTable Diner,"Dined on July 12, 2024",Good was not of special quality - the wagyu and steak not certain it was a wagyu ! Fries were nothing special - same applies to the salad . The waiter asked for a bigger tip (I originally paid him a 10% tip) ! Although the place was very nice I would not go again .,3 stars,Overall 3,Food 2,Service 2,Ambience 4
OpenTable Diner,"Dined on July 8, 2024",Wait staff was excellent but the kitchen was really slow,4 stars,Overall 4,Food 5,Service 4,Ambience 5
Iknowfood,"Dined on July 4, 2024","Limited menu do to light summer traffic. Our waiter was helpful and attentive. 

Food better than average",3 stars,Overall 3,Food 3,Service 5,Ambience 4
CynthiaS,"Dined on July 2, 2024","I meet my long time friend here for lunch and we love it. The food is amazing, and the service outstanding. The staff lets us chat as long as we want! Thank you!!!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
LeslyeS,"Dined on June 27, 2024","Very comfortable & stylish restaurant.
Good location for New Haven/Yale downtown area . Valet parking is a plus.
Excellent service.
Very good food ;an interesting menu.
Prices a bit on the high side.
Read more",4 stars,Overall 4,Food 4,Service 5,Ambience 4
OpenTable Diner,"Dined on June 25, 2024","Exceptional service!
Incredible food!
Stylish surroundings
Posh and lovely too
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on June 22, 2024",Nice spot for Saturday Brunch.  Food was delicious.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Courtmac,"Dined on June 14, 2024",Food and service were excellent.  The cocktails were stingy.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Barry,"Dined on June 5, 2024",Great food and great service. Prices are reasonable.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Delcioso,"Dined on May 12, 2024",Decent meal but we won’t be rushing back. Nice atmosphere and menu.,3 stars,Overall 3,Food 3,Service 3,Ambience 4
OpenTable Diner,"Dined on May 12, 2024",My favorite restaurant in NH - always a delight! So accommodating.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
KendraI,"Dined on May 12, 2024",Overall it was decent. The waitstaff was excellent. The food was ok but it wasn’t served hot so points taken off for that.,3 stars,Overall 3,Food 3,Service 5,Ambience 5
CareyB,"Dined on May 6, 2024","Heirloom has a wonderful array of food offerings. They also have a great mixologist, offering interesting cocktails like the Blackberry Bramble. It’s a great place for brunch - the salads, eggs with charred tomatoes, even a simple breakfast such as scrambled eggs with bacon and home fries. For me, it’s the welcome I always receive upon arrival. So inviting to be welcomed so warmly. I am a frequent visitor!
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
LHamm,"Dined on May 5, 2024",Had brunch prior to a show at the Shubert. The food was good and served timely. Service was extremely slow and not present however.,3 stars,Overall 3,Food 5,Service 1,Ambience 4
OpenTable Diner,"Dined on May 5, 2024",The new menu has some great options and the service was excellent as always.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Lori,"Dined on May 4, 2024","My first time here. I loved the atmosphere and ambiance. Beautiful place to have brunch. The wait staff was not attentive and I practically had to beg for coffee refills.
Only my waitress could help me. I felt the service was slow.",4 stars,Overall 4,Food 5,Service 2,Ambience 5
Phyllis52,"Dined on May 1, 2024",Consistent. My friends lived the Black Manhattan specialty drink.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
DonnaW,"Dined on April 28, 2024",Heard a lot of good about Heirloom and was very disappointed,2 stars,Overall 2,Food 3,Service 4,Ambience 2
SusieB,"Dined on April 20, 2024",Service tends to be slow especially at lunchtime.,4 stars,Overall 4,Food 5,Service 3,Ambience 4
KarinaJ,"Dined on April 8, 2024","We enjoyed a kale salad with salmon (delicious) and a Caesar salad with chicken.  Can't give 5 stars for the the food because the chicken on the Caesar salad was ON THE BONE.  Why would you put chicken on the bone in a salad?  We expected a boneless breast--that's standard--and nothing on the menu indicated it would be on the bone--making it very difficult to cut and enjoy.  The waiter was very meek and soft spoken and barely interacted with us.  Flavors were very good and atmosphere was good.  They put the bottle of water on the table which was a nice touch so we could refill on our own.
Read more",4 stars,Overall 4,Food 4,Service 2,Ambience 4
OpenTable Diner,"Dined on March 17, 2024",Food was delicious and the atmosphere was great!!,4 stars,Overall 4,Food 4,Service 4,Ambience 4
Rhea,"Dined on March 9, 2024","Always excellent food and ambiance! Fresh, quality ingredients.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
KristenC,"Dined on February 24, 2024","Excellent dinner location.
Highly recommend this restaurant",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on February 19, 2024",Everything was delicious! I enjoyed both food and drinks. For the price the quality wayyyy exceeded my expectations! The octopus and beef cheek were excellent,5 stars,Overall 5,Food 5,Service 5,Ambience 5
ElizabethR,"Dined on February 15, 2024","Very slow service, good drinks, fish was overcooked and bland, steak was very salty.",2 stars,Overall 2,Food 2,Service 3,Ambience 4
OpenTable Diner,"Dined on February 15, 2024",Ppppopopoooooooooooooooooopoooppppppooooooooooooo,3 stars,Overall 3,Food 4,Service 5,Ambience 4
SamS,"Dined on February 4, 2024","We were very impressed from the internet to find this breakfast and brunch place. Pictures look great. Made a reservation for 11:15.  We had to wait around 10 min to be seated.   Table was not as cleaned and salt and paper was all over the table.  Staffing was not as friendly and they were just working.  No Ketchup was provided with Berger and sandwich and had to wait for awhile.  My Cesar Salad with roasted chicken was not what I thought it was going to be.  Chicken was very dried and was not as moist.  Maybe about 5 white anchovies were  laying on the top of salad and the salad was soggy.  My daughter was happy with Berger but fries were all dried and looks like it may have been last basket of fries (all broken).  Definitely we will go back.  Sam from NJ
Read more",3 stars,Overall 3,Food 2,Service 2,Ambience 3
Jeff,"Dined on January 29, 2024",I have dined here many times and have always had a great experience.  I am frankly baffled by some of the negative reviews.  The service was fabulous (thank you Ivan) and bison steak frites perfection. Great meal once again! Thanks!!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on January 22, 2024","Once again, it took over an hour to get our order. Ridiculous. This is not the first time that it happened. There were four of us   Two orders the food was lukewarm. Unfortunately, we will never go back again. ￼ I spoke to the manager and he chilled me that our order had not been placed for 45 minutes. Unacceptable ￼",2 stars,Overall 2,Food 3,Service 2,Ambience 5
AugustaM,"Dined on January 21, 2024",Fabulous time! Heirloom is an adding go to restaurant. Love the brunch menu! Excellent service ☺️,5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on January 18, 2024","Service was excellent!!!!
Server was very nice and quick. Always asking if anything was needed.
Our drinks were fantastic, specially the pisco sour and the wine recommendation from the server.
Appetizers were good , antipasto fresh and arugula salad amazing !!!
Salmon tartar was just ok…missing lime juice and salt.
Main dishes were fantastic.
My wife asked for the CT burger, fresh a perfectly cooked.
My daughter asked for a pasta with red sauce and chicken cutlet… 10 points !!!
My dish was Mussels Fra Diavolo 10 points !!!
Definitely worth it .
Great experience, looking forward to go back soon !!!
Read more",5 stars,Overall 5,Food 4,Service 5,Ambience 5
VFBONVIN,"Dined on January 16, 2024","Best lunch in New Haven.
Feels like a Michelin star experience with brasserie prices.",5 stars,Overall 5,Food 5,Service 4,Ambience 5
HenryE,"Dined on January 14, 2024","My beef cheek bourgenon arrived warm, not hot and I sent it back. It took too long to arrive at my table again. The wait staff was not on top of things.",3 stars,Overall 3,Food 2,Service 2,Ambience 4
OpenTable Diner,"Dined on December 25, 2023","Our main dishes took over an hour and a half to come out after ordering (we were there for almost 3 hours), everyone else in the restaurant who got sat after us got their food before us, and when my dish came out (scallops and mushrooms) the mushrooms were cold. After asking the waiter if there was something else they could make quickly since my meal was cold, he suggested I could order a salad.
Instead, they offered to reheat and replate the dish, but in doing so they overcooked the scallops.

It would be understandable if they were really busy, but they weren’t. I think the waiter forgot to put in our order and made excuses that the kitchen was really backed up, but everyone else got their food before us.
Read more",2 stars,Overall 2,Food 3,Service 2,Ambience 3
TaraC,"Dined on December 10, 2023",We had a lovely brunch!  Highly recommend - the french toast was delicious.,4 stars,Overall 4,Food 4,Service 4,Ambience 4
Buddhabelly,"Dined on December 10, 2023","Maria is an amazing server. Always attentive and knowledgable. I witnessed her handle a disrespectful patron in the most professional way. Heirloom’s crostini that is served with the warm ricotta APPETIZER, a personal favorite, is toasted perfectly. This place has been a family favorite for many years.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on December 8, 2023","Noise level terrible; the bar is very noisy. Too few wait staff. My Caesar salad was freezing cold and soggy. I suspect it had been sitting in the frig for hours. My veggie burger was very undercooked and the French fries were cold and utterly tasteless. The roasted carrots were bland and the chicken overcooked that my husband ordered.
The Study had catered a party for us almost five years ago and the food was delicious. It has really slipped.
Read more",1 star,Overall 1,Food 1,Service 1,Ambience 2
PatrickM,"Dined on December 7, 2023",Food was terrible. It used to be fantastic. Would not recommend it.,1 star,Overall 1,Food 1,Service 3,Ambience 4
OpenTable Diner,"Dined on December 3, 2023","I was so happy to finally be able to try Heirloom. The food and drinks were great and for a surprisingly great price as well. The noise level was great for catching up with friends- energetic and pleasant atmosphere, but not so loud you can’t hear your own thoughts. The space itself is beautiful, and the service was friendly and helpful.  Overall, we had a great experience and I would definitely return and recommend to family and friends.
Read more",5 stars,Overall 5,Food 4,Service 5,Ambience 5
OpenTable Diner,"Dined on December 1, 2023",Waitstaff seemed to be stretched thin; hard to get attention + waited a long time for main course but food was worth waiting for.  (Coffee was good but not hot.) Tables spaced comfortably apart.,4 stars,Overall 4,Food 5,Service 3,Ambience 4
OpenTable Diner,"Dined on November 28, 2023","Went there for a lunch out with my husband. Got the burrata and prosciutto and truffle ricotta which was great. Also loved my drink. I thought ""can't go wrong with a burger"". I was wrong. We both ordered the grass fed burger, he ordered it medium rare and I got mine medium well. His was STRAIGHT UP RAW and not even warm. He loves a rare burger and this was still too raw for him. Mine was very rare and slightly warm. The meal had potential if it was cooked. We waited for our waitress to come back to see if they can cook it more. We waited and waited. We ate part of one of the halves. By the time she came we were on on the verge of nausea because it was so slimy and mushy. Sorry for the description. She asked if we wanted to wait and get a new burger but we were doing a meet and greet for a concert and had to leave. I feel she should've given it for half the price or comped it. For a $22 burger, and a higher end restaurant, I would hold it to a higher standard. My husband is stomach sick today. Kinda disappointed because I heard good things but won't be going back.
Read more",2 stars,Overall 2,Food 2,Service 2,Ambience 5
Jill,"Dined on November 24, 2023","Thanksgiving dinner.... We were excited to eat out, but this experience was one epic fail after another.  Where to begin?  40 minutes to get a canned beer?  Salad dressing that was almost a solid?  Waiting 15 minutes for utensils with the main getting cold in front of us? So cold, couldn't eat it.  Two salads with dressing on the side for Thanksgiving dinner?  Begging for the check so we could leave?  My dinner and a salad were comped.  My husband just ate his cold, because he was starving.  Maybe it was our server, maybe it was the holiday, but they weren't overwhelmingly busy.... The other servers were fairly helpful to us.  I don't know, but we will definitely remember this Thanksgiving.
Read more",1 star,Overall 1,Food 2,Service 1,Ambience 4
MarySmith,"Dined on November 23, 2023",First time guest. Everything was delicious. Valet was courteous and efficient. Will go again!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
JimM,"Dined on November 21, 2023",The food quality was very good.  We were surprised that the bar didn't have the liquor to make 2 out of the 5 drinks that we ordered for our table (both were right off the menu).,4 stars,Overall 4,Food 4,Service 4,Ambience 3
Philippec,"Dined on November 19, 2023","Definitely my go to place for breakfast in New Haven. Great food and excellent, consistent and friendly service. Love it!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Sunny,"Dined on November 19, 2023","Food was good.  However, noise level was very loud.",4 stars,Overall 4,Food 4,Service 4,Ambience 4
PhilDav,"Dined on November 18, 2023",Very slow service as usual often the case but great food,4 stars,Overall 4,Food 5,Service 2,Ambience 4
StephanieS,"Dined on November 16, 2023","Loved everything about this! For a work lunch it didn't move as fast as I would expect,  there was a bit of lag time between appetizers going down and lunch showing up.  But despite that it was an amazing experience, and I will definitely be back!",4 stars,Overall 4,Food 5,Service 5,Ambience 5
PatA,"Dined on November 12, 2023","Enjoyed everything but it was a tad loud at 1p.m. on a Sunday.
I have eaten at Heirloom before and will continue to frequent this restaurant.

Try the Aviator.
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
adhok,"Dined on November 12, 2023",Service was terrible. Food was meh. It is nothing like it was when it first opened. Gone way downhill. Bummed because the setting is so nice.,2 stars,Overall 2,Food 2,Service 1,Ambience 3
miggol,"Dined on November 7, 2023","Flor was our server. From our first encounter Flor was sensitive to our needs. We had a leisurely dinner. The many dishes we ordered were all delicious. I was with my daughter, granddaughter, a friend. Everyone was pleased with our food choices.  Be sure to let Flor know we appreciated her friendly professionalism. 
Thank you,

Terri Chegwidden
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Jeff,"Dined on November 6, 2023","I've dined at Heirloom many times. Some meals were spot on, others a little less so. But, this was extra special. First, the service was really excellent (something that was not always the case). Second, the food was marvelous. Wonderful grilled shitso peppers and then beef cheeks bourguignon. Marvelous flavors. Great wine list also. I'll return!",5 stars,Overall 5,Food 5,Service 4,Ambience 4
DaniellaK,"Dined on November 5, 2023",It was good but not great. Service was slow and they weren’t that crowded. Had the tomato soup which is always good and the Kale salad with chicken.,4 stars,Overall 4,Food 3,Service 3,Ambience 4
BarbaraB,"Dined on November 5, 2023",Unfortunately service was slow and inattentive. Food was reasonably good but did not live up to promise.,3 stars,Overall 3,Food 4,Service 2,Ambience 4
Beth,"Dined on November 3, 2023","Service and vibes were great, as were the Manhattans. The food was underwhelming though on all counts - overly drenched in sauces that were too salty or too buttery. Dishes that could’ve been easy wins with more delicate or classic flavors (mussels fra diavlo, pan seared scallops) were heavy and unbalanced. I’ll stick to the bar next time!",4 stars,Overall 4,Food 2,Service 4,Ambience 5
Frank,"Dined on October 29, 2023","The food was lovely but the service poor, so the overall experience was negative.",2 stars,Overall 2,Food 4,Service 1,Ambience 3
OpenTable Diner,"Dined on October 28, 2023","The food was great. The service was slow at the beginning, but then got much better. Similarly, the restaurant was really loud when we arrived, but got better as the night went on. Overall, wonderful food and pleasant experience.",5 stars,Overall 5,Food 5,Service 4,Ambience 4
Barry,"Dined on October 27, 2023",Delicious food and great service. All staff clearly work together so as to ensure a positive customer experience.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on October 26, 2023",Server was exceptional.  Sorry I cannot recall his name.  His attention and demeanor contributed extensively to our positive experience at the restaurant.,5 stars,Overall 5,Food 4,Service 5,Ambience 4
PoorService,"Dined on October 18, 2023","Was really excited to eat here. The menu looked amazing. The service unfortunately left much to be desired. I was not acknowledged for a drink order for approx 35 minutes after being seated, then waited around the same time for subsequent server attention. I closed and left after an appetizer, and I ultimately had an amazing experience at the restaurant next door. Do better, Heirloom.
Read more",2 stars,Overall 2,Food 2,Service 1,Ambience 3
OpenTable Diner,"Dined on October 16, 2023","The menu and the food were very good, however despite it being a quiet afternoon the service was very poor.",3 stars,Overall 3,Food 4,Service 2,Ambience 3
Katharine,"Dined on October 15, 2023","I didn’t realize the restaurant was in a hotel, however it has very much a hotel lobby vibe. Not a restaurant vibe. Food was good. Service was terrible. This wouldn’t be my first choice of a restaurant in this area.",3 stars,Overall 3,Food 4,Service 1,Ambience 1
christinak,"Dined on October 14, 2023","We thought that the restaurant might have a new chef. The fries were cold and undercooked; sweet potato ravioli filling was gelatinous; chicken and ""grits"" adequate. It was definitely much inferior food to the last time we were there, about a year ago.",3 stars,Overall 3,Food 2,Service 4,Ambience 3
NYTfoodie,"Dined on October 6, 2023","Good food, nice atmosphere, weak service.  Just not enough wait staff.",2 stars,Overall 2,Food 4,Service 1,Ambience 3
dggg,"Dined on October 4, 2023",We Had a great meal and the waitress was terrific.,5 stars,Overall 5,Food 5,Service 4,Ambience 4
LRHD,"Dined on October 4, 2023","The food is very good, with a focus on healthy choices and a nice varied menu. Both lunch and dinner are great. Breakfast is good, basic fare, although the coffee is not at the quality level of the food and often not hot enough.  It is recommended to get a better quality blend of stronger coffee and consider offering french press. 

The major issue is a decline in service. While not an issue in the past, the wait staff is currently poorly trained, inattentive, forget to bring items requested, and lack a sense of urgency to get food to the table. The wait times have been too long to get food and the bill. This detracts from a lovely ambiance and very good food.
Read more",3 stars,Overall 3,Food 4,Service 1,Ambience 4
OrishaJ,"Dined on October 3, 2023",Our service and food were very good.  Highly recommend it.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
RachelS,"Dined on October 1, 2023",Food was great. Good location and nice inside. Our waitress either was overwhelmed or something because she kept circling around us to other tables but we barely had interaction with her. And spent 20 minutes waiting for her to pick up our payment. Overall experience was good though,4 stars,Overall 4,Food 5,Service 3,Ambience 5
MikellR,"Dined on September 25, 2023",Great food in a beautiful setting.  Enjoyed everything we ordered.  Service was great.  Would recommended.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
PhilipT,"Dined on September 24, 2023",Had to wait for ever for a simple meal. Very noisy.,2 stars,Overall 2,Food 2,Service 2,Ambience 2
BerniceC,"Dined on September 23, 2023","I had the blueberry kale salad w Romaine lettuce / chic. The salad was excellent and the chic was so soft yiu can cut it w your fork. 

Service was very timely and caring
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
AlistairB,"Dined on September 22, 2023","Good food, good service and a lovely ambience. Would definitely recommend.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
JOSEPH,"Dined on September 21, 2023","Excellent service, nice menu selection, although a sizable restaurant with many customers it was sufficiently quiet that the 3 senior citizens could easily carry on conversations  (notably none of the blasting background music that mar many restaurant experiences)",5 stars,Overall 5,Food 5,Service 5,Ambience 5
ConstanceC,"Dined on September 18, 2023","We started with the mushroom toast, which was not great.  The bread was difficult to chew, the flavor was just ok. My partner had the Bison and I had the scallops. Both were waaay over salted. We managed to eat the bison because we were hungry,  but the scallops (despite being *cooked* perfectly) were so salty we couldn't eat them. 
The service was very slow and the place was very loud.  They need to put rugs down to fix the acoustics.  
We will not be returning.
Read more",2 stars,Overall 2,Food 2,Service 2,Ambience 2
VailsEat,"Dined on September 17, 2023","Our previous visit was better. We loved many of our dishes but two of the small plates were “don’t order this again”.  One was the marrow, which had almost nothing edible. The other was the salmon tartar. It had a fishier taste than we had expected.  We couldn’t tell whether it was the intended flavor or whether the salmon was not as fresh as it might have been.",4 stars,Overall 4,Food 3,Service 4,Ambience 4
KelseyW,"Dined on September 10, 2023","We would definitely return. The food was delicious, and our server was warm and attentive. There were some serious bros at the bar prior to dinner who used the term “lady tennis” and tried to take over the space. Otherwise the ambience would be a five.",5 stars,Overall 5,Food 5,Service 5,Ambience 4
RebeccaT,"Dined on September 10, 2023","We have enjoyed many meals here over the years but after dinner last night we won't be returning. Dishes we previously loved are listed the same on the menu but are executed completely differently. The carrots were not the nice multicolored ones, caramelized and served with the sauce but rather sliced steamed orange ones floating in the steamer water. The crispy potatoes were steamed potatoes and we had to ask twice for the sauce they were supposed to be served with, and the scallops were flavorless. So disappointed.
Read more",1 star,Overall 1,Food 1,Service 3,Ambience 3
JonL,"Dined on August 26, 2023","Straightforward cooking, good to great ingredients, nice ambiance, a noise level where you can hear your friends.  Think of it as an American bistro but elevated to really good restaurant status.",4 stars,Overall 4,Food 4,Service 4,Ambience 5
NatashaR,"Dined on August 23, 2023","Great lunch spot! The tuna melt, chicken salad & fish and chips were all delicious.",4 stars,Overall 4,Food 5,Service 4,Ambience 4
OpenTable Diner,"Dined on August 22, 2023","Service was slow and inattentive despite the fact we were one of only three tables there.  It took a very long time to get water and coffee, and we were never offered refills.  The food wasn’t bad, but nothing to write home about.",3 stars,Overall 3,Food 3,Service 2,Ambience 3
Tina,"Dined on August 22, 2023",I would definitely recommend Heirloom.  It has a lot of ambiance including large windows that reflect back downtown New Haven.  The food and drinks are delicious!  The hospitality and attendance to guests are excellent.  Sometimes noise can be an issue but the staff is responsive to needs for a quiet corner and very accommodating.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
davidp,"Dined on August 15, 2023","Very pleasantly surprised. Nice setting, nice staff, very fresh and delicious food, very good wine list to boot. Would return. A very positive lunch experience.",4 stars,Overall 4,Food 4,Service 5,Ambience 4
AlanW,"Dined on August 5, 2023",Nice food.  Can get crowded.  The bar is a great spot for an afternoon cocktail,5 stars,Overall 5,Food 5,Service 5,Ambience 4
OpenTable Diner,"Dined on August 3, 2023","Food was delicious.  Server & staff very friendly.  Took a while to order (server was a little slow). Once ordered food came quickly.  Very fresh.

Will definitely come back
Read more",4 stars,Overall 4,Food 5,Service 3,Ambience 5
GenG,"Dined on July 28, 2023",The service was not good! We had drinks and meals re-made two to three times because they were incorrect. We also waited over 30minutes for our entrees. It was a disappointing experience.,1 star,Overall 1,Food 2,Service 1,Ambience 2
SteveB,"Dined on July 17, 2023","Service was quite slow -- to take the order, and also to bring the food. Also, the server initially forgot to bring beverage that had been ordered.",3 stars,Overall 3,Food 4,Service 2,Ambience 5
