User Name,Date of Review,Review Content,Rating,Overall Rating,Food Rating,Service Rating,Ambience Rating
Jinni,"Dined on November 28, 2024","Thanksgiving menu review - Good customer service experience, we were sat early for our reservation. But the prefix menu was inaccurate and misleading. The “seafood bar” was a depressing shrimp salad and some lox salmon, and the menu didn’t mention asparagus coming with the prime rib and if I had known that was the case I would have asked if there were any alternatives. Overall just not worth the price, I could have gotten an a full sized prime rib for $20 less at a number of places downtown.
Read more",3 stars,Overall 3,Food 3,Service 5,Ambience 4
Cody,"Dined on November 24, 2024",The food was very under whelming I got the Cesar salad with grilled chicken and it seemed to have a vinaigrette dressing on it instead.,1 star,Overall 1,Food 1,Service 2,Ambience 2
Charissa,"Dined on November 17, 2024",We really enjoyed our brunch at State and Lake! The food was delicious and the service was above excellent.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
Liza,"Dined on November 3, 2024","Horrible service, mediocre food, dirty bathroom, convenient location for theater",1 star,Overall 1,Food 1,Service 1,Ambience 1
MikiF,"Dined on October 29, 2024","Excellent service, pleasant atmosphere and great food.  The drink menu was solid with nice cocktails and great local beers.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Thurman,"Dined on October 6, 2024","Appetizers very good, main a trees just ok, banana pudding the best I’ve ever had!",4 stars,Overall 4,Food 5,Service 4,Ambience 5
Daniel,"Dined on September 6, 2024","Waiter was utterly incompetent. It is ok to be inexperienced, but this waiter was clearly not properly trained by restaurant management. 

Food was just ok. Except for the roasted carrots which were overcooked and underseasoned.

We have dined at State and Lake many times. Now we are afraid to go back.
Read more",1 star,Overall 1,Food 2,Service 1,Ambience 1
Steve,"Dined on September 6, 2024","Our server was terrible. At one point, she sat down so close to me that she touched me in 4 places. She was loud and very slow. We were at the restaurant 2 hours before the show at the Chicago Theater, which is next door, and we were almost late to the show. Having her wait on our group ruined our meal.",1 star,Overall 1,Food 4,Service 1,Ambience 2
Brian,"Dined on August 10, 2024",Really should have N/A for this because they gave away our table. We had bad traffic and called the restaurant 15 minutes before our reservation and at our reservation. Nobody answered either time and we left a message at 5:45. We never heard a reply and got to the restaurant at 6:20 (20 minutes late) and they did not have a table for 2.,1 star,Overall 1,Food 1,Service 1,Ambience 1
OpenTable Diner,"Dined on August 4, 2024","Great for the Goodman! Close, quick and service was the perfect balance of as needed and not hovering. Salmon was cooked to perfection short ribs could have been a larger portion but he was hungry! Carrot cake was DIVINE!",4 stars,Overall 4,Food 4,Service 5,Ambience 4
JerreS,"Dined on July 22, 2024",The cocktail I ordered didn't arrive until I had finished my salad.  My server Sam was extremely hostile when I asked about the delay.  The 1 I ordered for my entree also did not order arrive.  Again Sam was hostile when I asked to cancel the order of wine,2 stars,Overall 2,Food 3,Service 1,Ambience 3
ClassicTaste,"Dined on July 20, 2024","I really wanted to like this restaurant. It’s directly across the street from the Chicago Theatre (where we had tix for the America “Ride On” rock concert), and I was hoping for a cool ‘Chicago’ experience. Found nearly the opposite unfortunately.

1. No ambiance: The Tavern was screamingly loud. My friend and I fortunately were seated against a wall, but even though we were ‘kitty-corner,’ we literally had to shout at each other to carry on our conversation.

2) The food was over-priced for its value. We shared 3 appetizers: a shrimp cocktail, a cup of mushroom soup, and an appetizer-sized salad w grilled chicken. Nothing to drink but water (I.e. no cocktails or wine.) Cost was $48!! I mean, the food was decent but nothing creative—very ordinary. And it was $48 (not including tip) for just appetizers?!?!?

3) Our server was competent but not at all welcoming. No effort was made to be upbeat or engaging. She did her job but with the bare minimum of words of interaction with us.

Overall, we had a quick overpriced bite before the concert. I think I’d’ve been happier at ‘Steak and Shake’ instead of ‘State and Lake.’
Read more",2 stars,Overall 2,Food 2,Service 3,Ambience 1
OpenTable Diner,"Dined on July 6, 2024",Fries were soggy and cold. Meat and cheese board felt cheap.,3 stars,Overall 3,Food 2,Service 5,Ambience 5
JohnT,"Dined on June 23, 2024","Stopped in for a pre-theatre dinner.  Service was very responsive and accommodating.  The drinks were delicious and well made with a decent pour. Even the mocktails were well thought out.  The food was average at best, and overpriced because of it.",4 stars,Overall 4,Food 3,Service 4,Ambience 4
Lccnv,"Dined on June 22, 2024",Live music was good and food was good. Service was poor.,3 stars,Overall 3,Food 4,Service 2,Ambience 3
RalphN,"Dined on June 15, 2024","Great service, good food but background music is way too loud.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
LucasL,"Dined on May 31, 2024","Food was great, service was excellent, the deviled eggs are a must!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Jenners,"Dined on May 31, 2024","We decided to dine someplace close to the Chicago theater.  The staff was super friendly.  Unfortunately, comedian Matt Rife canceled at the 11th hour, but we’ll be back in December to dine again!",3 stars,Overall 3,Food 3,Service 4,Ambience 3
OpenTable Diner,"Dined on May 12, 2024","My family and I loved everything... the food, drinks, atmosphere and especially the staff. They were pleasant and attentive the entire time. I definitely had recommended this restaurant to my other family members and friends.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on May 4, 2024","We ate there before a show, so we had reservations ahead of the usual dinner rush. We were seated early, and the restaurant certainly started to fill up about 15min after we got there. Our server was quick and accurate. He even tried to see if the kitchen could split our dishes (we were sharing). They didn't do it (not a huge issue at all), so he brought us extra plates in advance. The food was excellent! Highly recommend the roasted Brussels sprouts with dates. The chicken breast with bacon bread pudding and apple reduction was phenomenal. The sauce was almost like they had liquefied a caramel apple.  Our drinks were good if a bit on the higher price side, but that is to be expected given the locations. All in all, we would definitely eat there again and certainly recommend it to others. If you have a show at the Nederlander, this is also a great location since it's a little over a block away.
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Birdie,"Dined on May 1, 2024","Service was slow, had a performance to attend.  Broccoli side dish was too hard to eat.",3 stars,Overall 3,Food 3,Service 2,Ambience 4
OpenTable Diner,"Dined on April 27, 2024",Good atmosphere but the food was just ok. Has the gnocchi which was in a watered down meat sauce that had basically no flavor. Definitely not worth $29 for that dish.,3 stars,Overall 3,Food 3,Service 5,Ambience 4
JohnG,"Dined on April 17, 2024","Consistently good food, service and drinks for the many times I have eaten here.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
PhyllisF,"Dined on April 5, 2024","Good service. We had to be out in less than an hour to make the theater and our waitress did a great job.
It looked like a younger after work crowd and the place was very noisy.",4 stars,Overall 4,Food 5,Service 5,Ambience 3
KBB0727,"Dined on March 31, 2024","We had a 1pm reservation for their Easter brunch.  It was clear they hadn’t been busy and the food was hours old.  Overcooked, dry ham and crusty mac and cheese.  Incredibly disappointing all around.",2 stars,Overall 2,Food 2,Service 2,Ambience 4
ChrisB,"Dined on March 31, 2024","The resturant is inside the Wit Hotel.Ambiance is nice, live music friday and saturday. Service was great. Bilingual, polite. Prices are average for the type of place, I feel they could offer something extra to the guest staying to motivate traffic because Chicago has too many places to offer great food and ambiance.
But the sad part was the food. It was blunt, tasteless, good quality proteins but underseasoned and the menu was bit limited. Also few side options. We ordered 4 different proteins, 4 different options,4 different sides and not 1 was good. It was ok, it was bearable but for over $30/plate you would expect great taste.
Read more",3 stars,Overall 3,Food 1,Service 5,Ambience 5
OpenTable Diner,"Dined on March 17, 2024",It was dirty and incredibly expensive for microwaved food.,1 star,Overall 1,Food 2,Service 2,Ambience 1
Rena,"Dined on March 17, 2024","We arrived only to find out that we’re having a special menu that day. Which didn’t work with my diet, but it was a Saturday in Chicago—no one has availability. Our waiter ignored us for most of our time there. We had to flag down other waiters to get what we needed. The food was flavorless—although I will given them props for the creativity of the dishes—they just fell flat flavor-wise. They were also out of 2 of the 3 drinks from their special menu. All in all, it’s not worth the time or money. The DJ was good, but it’s too small of a space for that sound system.
Read more",3 stars,Overall 3,Food 2,Service 1,Ambience 2
OpenTable Diner,"Dined on March 16, 2024","It’s was St. Patty’s day river dying.  There was a large crowd downtown.  The dj was great, but we were in the restaurant area and had a hard time talking.   Food was ok.  My nieces eggs in her Benedict were over cooked. As well as the streak which was suppose to be medium rare.",4 stars,Overall 4,Food 4,Service 4,Ambience 5
MarianaM,"Dined on March 16, 2024","Loved the breakfast, great value for the price and amazing service",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on March 9, 2024","We dine here often if we have tix around the corner at Chicago Theatre, this time was a bit of a miss.  While we were halfway into our appetizer the entrees arrived - far too quickly.  One entree was the potato gnocchi dish, and this was the first time I have ever sent back food, as the gnocchi itself was like the consistency of of a just opened pillsbury can, that could be smeared across the side of the plate.  Server Jasmine was apologetic (not her fault), and new dish (completely different) came out quickly.  The addition of large (40ish”?) flat screen TV’s directly above the chair line along the walls (if your dining partner was against the wall across from you the tv would literally be right behind them shoulder height) seems like an odd choice, evidently they’re trying to maximize filing sports fans in..?  FYI If you have 7p show tix, the place starts filling up pretty quickly at about 5:45-6.
Read more",3 stars,Overall 3,Food 3,Service 3,Ambience 3
ILLINI,"Dined on February 25, 2024",Good food and great service. Perfect timing as we were on our way to the theater.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
JosephH,"Dined on February 15, 2024",The food was blah. The shrimp were well seasoned but the grits was underwhelming and needed cornbread to  bring together.  The menu was mediocre for dinner.,2 stars,Overall 2,Food 1,Service 2,Ambience 3
OpenTable Diner,"Dined on February 4, 2024",My steak was charcoal for a medium well. Our server was awful. Ruined my birthday dinner did not even mention anything about us celebrating a special occasion. Our meat balls were so cold and no flavor. Do not waste your money here such a disappointment.,1 star,Overall 1,Food 2,Service 1,Ambience 2
OpenTable Diner,"Dined on February 4, 2024",The dj was playing very good music to listen to while having dinner,5 stars,Overall 5,Food 5,Service 5,Ambience 5
JBMW,"Dined on January 28, 2024","Three of us came here for dinner last Saturday night prior to attending a show at a nearby theater. We were seated and quickly ordered both our drinks and meals within five minutes to ensure timely arrival of our order. While we promptly received our drinks, after waiting nearly an hour, we never received our food. When we inquired multiple times, the waitress dismissed us and rudely said “your food will be here soon”. When we reminded her that we were going to a show, she rolled her eyes and sarcastically said “I know”. Since our food never arrived, we asked for the bill for our drinks. The waitress threw the bill on our table and walked away. Two of us had previously dined here and had a great experience. To say we were disappointed is an understatement. There was such poor communication and an utter lack of respect. Appalling.
Read more",1 star,Overall 1,Food 1,Service 1,Ambience 4
MayK,"Dined on January 28, 2024","For a restaurant conveniently located in the theater district where many patrons are in need of timely service in order to arrive at their shows, the waitstaff was less than diligent. We were seated at the exact time of our reservation but it took our server 15 minutes to even come to our table.",3 stars,Overall 3,Food 3,Service 2,Ambience 4
KathyT,"Dined on January 28, 2024",We had a delicious meal.  The staff was great.  We love this place.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
MarioB,"Dined on January 27, 2024","Another great date night after seeing Ali Saddiq (who was amazing).  Love coming here after shows to relax eat and drink.  And of course listen to Griffin Crowder who again killed it while we were there a mix of Rap, R&B, Rock, etc.....great touch to the atmosphere!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on January 21, 2024","Food was excellent. Drink options were robust. Service was brutally slow.  1:40 to order an app and dinner. Had to wolf down main dish that arrived 1:25 after we sat down because we were catching a show at a theater nearby.  Plenty of waitstaff walking around the restaurant but not being overly attentive to their tables. Watched most stand around chatting with each other.  Kitchen was completely overwhelmed. Could not accommodate a mostly full restaurant.  Would recommend eating here but to do it during off peak hours otherwise it takes forever.
Read more",3 stars,Overall 3,Food 5,Service 2,Ambience 4
LoriR,"Dined on January 21, 2024","We went to dinner first.  Food and service were excellent.  However, at 9:30 on a the same evening we want a cocktail before going back to our room.  After waiting over 30 minutes for 2 beers, 1 glass of wine and a mixed drink we cancelled the order and left.  It wasn’t even that busy.  Not sure why the wait was so long.  Very Disappointed after our first part of the evening was so positive!
Read more",3 stars,Overall 3,Food 5,Service 4,Ambience 4
OpenTable Diner,"Dined on January 20, 2024","We had a 5:30pm reservation for 8 people. We had a show at 7:30. Figured we would have plenty of time. We were seated immediately. Ordered our food at 6pm letting the waitress know we had a 7:30 show. Did not receive our food until after 7pm. Had to eat our food quickly in order to make our show. The table next to us ordered at the same time we did (their reservation was at 5:15). They had a 7pm show and ended up leaving at 7pm without ever getting their food. Others (smaller groups) who came after us, were seated in the area by the bar and were finished eating before we even received our food. Not sure if it was a server problem, kitchen problem or both. We did receive a discount on our food, but it was not a good experience. Couldn’t even enjoy the food because we had to eat it so quickly. We will be finding a different place to eat next time we go to a show.
Read more",1 star,Overall 1,Food 3,Service 1,Ambience 3
DebraW,"Dined on January 20, 2024","Convenient to Chicago theatre which is why we chose to eat here. Very cold evening. Busboys were very very good. Food was okay and came out in timely manner. Servers were inattentive. We came early at 5:00 and the restaurant was not busy. We had to flag down  an employee for service although they had taken notice of us, no one approached us. We asked  politely who our server was and she said “I can be your server”. It appeared as if they did not know who was responsible for what tables. After that we were constantly looking for service. Hostess stepped up to get us utensils and drink order. Overheard the table next to us ask server if the food was coming as they had to make a show. Had already been waiting awhile. When food still hadn’t appeared, he said to his wife we have to go. He was quite unhappy and told the server to  cancel his order. Overall ok food, very convenient to theatre, great busboys but a tedious dining experience due to service.
Read more",3 stars,Overall 3,Food 3,Service 1,Ambience 3
MeridithC,"Dined on January 20, 2024","We were seated at a table literally under a set of stairs, across from the front door and the 10 degree Chicago air, and with an art piece on the wall over the chair which was low enough to bump your head on whenever you stood up.  Service was non-existent.  We were invisible from the time we arrived until we left.  Booooooo.",1 star,Overall 1,Food 3,Service 1,Ambience 1
OpenTable Diner,"Dined on January 1, 2024",The waiter was very pleasant. Never felt the waiter pressure as I have in some restaurants. The service was great and the environment was very mellow and calm.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
ReneeD,"Dined on December 31, 2023",The food was the worst I’ve ever had in Chicago. My steak was a burnt hockey puck. So many better choices in the city by far.,2 stars,Overall 2,Food 1,Service 3,Ambience 4
MitchK,"Dined on December 30, 2023","Had to ask twice for server after being seated. Waited like 10 min to even be acknowledged. First attempt by passing by server “hey how are you” responded good and kept walking. Food was okay, location was perfect. We noticed they had live music at 8:30 so decided to stop back by after our show. We were greated with “we only have one server right now” I was blown away. Friday night, NYE weekend, and one server? We went elsewhere.
Read more",3 stars,Overall 3,Food 4,Service 2,Ambience 4
AmyT,"Dined on December 26, 2023","Service seemed to be very cluttered and unorganized. Food was ready so fast that we had questions of freshness, but flavor was acceptable. Didn’t receive appetizer until after our entrees were delivered. Still charged for it. Didn’t receive bar drinks until midway through our meal. Beautiful atmosphere, quiet, close to theatre.",3 stars,Overall 3,Food 3,Service 1,Ambience 4
FrequentDiner,"Dined on December 25, 2023","Good place for Christmas breakfast.  One of the few places open for breakfast on Christmas morning   Food was good, service was a little slow but acceptable",4 stars,Overall 4,Food 4,Service 3,Ambience 4
StarrK,"Dined on December 24, 2023","The service was amazing!!! My glass was never empty of water, the food came out quick, and tasted amazing! The staff was pleasant and the overall vibe of the restaurant was enjoyable. Great experience!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
DonnaM,"Dined on December 23, 2023","Food was just ok, nothing special. Location great for after the theater. Service was great.",3 stars,Overall 3,Food 3,Service 5,Ambience 5
AnnB,"Dined on December 22, 2023","Great place to go before show - good bartenders and servers, attentive.  Menu is good for all.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on December 16, 2023","Brunch for a party of 10. They didn’t seem to have the OpenTable reservation (was made earlier in the morning) but they worked quickly to accommodate our large group. Food was a little above average, server was great!",5 stars,Overall 5,Food 4,Service 5,Ambience 5
MarioB,"Dined on December 16, 2023","Came for dinner after seeing Curque Twas the Night which was a great show!  Was immediately greeted by great live music, and a warm and festive atmosphere!

My wife said the Shrimp and Grits were AMAZING!  Will definitely be back Griffin Crowder was jamming on the guitar!  Our favorite was his rendition of Regulator by Warren G!
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on December 16, 2023",Vegetables were a little burnt and the desserts were stale,3 stars,Overall 3,Food 2,Service 5,Ambience 4
Waterdancer,"Dined on December 9, 2023","We arrived early for our Friday evening reservation. We were seated quickly, but it took the staff awhile to decide who was going to wait on us! Once they did, service was great. Food arrived fairly quickly and was all very tasty. The evening was great! Imagine my surprise when OpenTable reported us as No Shows by the restaurant which involved a hefty chart against the credit card we had to give the restaurant to make the reservation! I am hoping Open Table gets this closed ASAP…
Read more",4 stars,Overall 4,Food 4,Service 5,Ambience 3
sandras,"Dined on December 8, 2023","Got seated underneath the stairs; did not like it, and then got accomodated with a better table. Waiter was a in a terrible rush; did not have the time to any answer questions...  Online menu was outdated, therefore everything we planned on ordering beforehand, wasn't available. For the value - there are other places with better service, food and atmorsphere that I would rather go to.
Read more",3 stars,Overall 3,Food 4,Service 2,Ambience 2
RalphN,"Dined on December 3, 2023","Seated promptly, attentive service and good food with nice menu. Only downside was the music which was way too loud for that early in the evening.",4 stars,Overall 4,Food 4,Service 4,Ambience 3
KristinJ,"Dined on December 2, 2023","Food was great. However, we were sat at a table next to the bar, and the entire night, the young male bartender was joking around with other staff, using vulgar language very loudly. Saying things such as ""F you."" ""Get the F out of here"". It's not the swearing that I mind, but it was very inappropriate behavior in public for restaurant staff. We also had a friend call the restaurant trying to buy our group a round of drinks, and whom ever he spoke to, would not allow him to do so. Service could have been much better. Probably will not be returning here.
Read more",3 stars,Overall 3,Food 4,Service 3,Ambience 4
OpenTable Diner,"Dined on December 1, 2023","The fries were delicious! The chicken sandwich was soggy and tasted old. Burgers were average-below average, nice buns.",2 stars,Overall 2,Food 2,Service 2,Ambience 5
robinr,"Dined on November 30, 2023","The hostess greeting was welcoming and professional. I secured a last minute reservation for pre show dining. Upon arrival I was seated at the bar amd the welcome from the bartendwr was literally non existent. I immediately ordered my drink amd food selection to maximize the time. I ordered a lemon drop with sugar rim, which was eye appealing, but not the quality of a $23.00 lemon drop. I am not clear which alcohol was used in my drink, but the quality was definitely not price comparable. I was seated where the prepared food was placed and noticed two orders of French fries. I asked the bartender if she could check to see if they were mine. She looked at the tickets and stated I had a few orders ahead of mines. Needless to say- one of the two orders of fries was actually mines. My ceasar salad with salmon was filling, but I am not clear on the price difference from the menu versus what I was charged. I would not recommend this restaurant for dining and will not visit again.
Read more",3 stars,Overall 3,Food 3,Service 3,Ambience 4
OpenTable Diner,"Dined on November 29, 2023","Amazing casual but trendy place to eat and relax before catching a show. The steak and salmon were so mouth-wateringly (is that a word?) tasty, the drinks perfect, and the ambiance was relaxing and comfortable. The server was so attentive, and our water glasses were always filled.  Definitely one of our new favs in the theater district!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
cliffD,"Dined on November 26, 2023","Food was good, but drink prices were high and service was just ok.",3 stars,Overall 3,Food 4,Service 3,Ambience 3
Beehead,"Dined on November 26, 2023",Went there for dinner. I prefer the lunch menu choices than the dinner menu choices. Food was good and service was good.,4 stars,Overall 4,Food 5,Service 5,Ambience 5
gnoforcosmos,"Dined on November 17, 2023","Food needed seasoning from salad, to fish, and steak.",3 stars,Overall 3,Food 3,Service 3,Ambience 3
EllenC,"Dined on November 6, 2023","food was definitely not worth the $$ .  Paid $14 for a small crock full of onion soup that was too salty and plain. Paid for loaded tots....they were tater tots with the littlest bit of cheese and bacon on the bottom. Not really loaded. Came out cold at first.
Chicken dish looked like 1/8 of a chicken.
Read more",2 stars,Overall 2,Food 1,Service 3,Ambience 3
OpenTable Diner,"Dined on November 6, 2023",The ribeye was outstanding. Tender and full of flavor. The rigatoni was average at best. Pretty blah.,3 stars,Overall 3,Food 3,Service 4,Ambience 4
richg21,"Dined on November 5, 2023","We had a great server, thanks Edwardo!  Service was fast and food was good.  Music is a little too loud but otherwise a nice experience.",5 stars,Overall 5,Food 4,Service 5,Ambience 4
OpenTable Diner,"Dined on November 4, 2023","Loved the vibe, food was incredible. Didn’t have a lot of wine options, the one I wanted on the list wasn’t available. Had live music, she was amazing.",5 stars,Overall 5,Food 5,Service 4,Ambience 5
OpenTable Diner,"Dined on October 21, 2023","Let me start off by saying $15 for a local beer. Insane. Appetizer we had the meatballs. The meatballs were pretty bland and my wife who is Italian agreed. Even the sauce was mild on flavor. Steak frites was fine. Nothing to write home about by any means. Wife had pasta with spicy vodka sauce. Pretty good. Did have a slight kick. Server was friendly and attentive. 2 beers, 1 glass of Sauvignon blanc, appetizer and 2 entrees wound up being $150. Personally didn’t think it was worth the money.
Read more",3 stars,Overall 3,Food 3,Service 5,Ambience 5
Rocky,"Dined on October 9, 2023","Food was good especially the roasted Brussels sprouts.  The noise level was unbearable though.  Luckily I had a some ear plugs with me which I had to wear throughout dinner.  It was the music.  Way, way too loud!  People want to talk at dinner not shout at each other.",4 stars,Overall 4,Food 4,Service 4,Ambience 2
ChrisK,"Dined on October 8, 2023","Overpriced, undercooked pasta. Should have just stuck with the burger. Decent beer selection.
Great location for before a show.",3 stars,Overall 3,Food 1,Service 4,Ambience 4
OpenTable Diner,"Dined on September 29, 2023",Excellent food and walking distance from the theatre district.,5 stars,Overall 5,Food 4,Service 5,Ambience 5
MarieS,"Dined on September 11, 2023",great place for our group meal! food was good and the tvs were on with the game!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Paul,"Dined on August 31, 2023","The restaurant was a good experience and recommended. But I ordered the rigatoni and when asked if I would like some protein with it I said yes. In my mind that meant an add-on that might cost $5 or $6 to add in some chicken or salmon. I ordered salmon and was shocked to see the price of the add-on was $23 which was essentially the price of the main course rigatoni. I paid it and did not complain but I highly recommend in the future in the future they alert the customer or put it on the menu
Read more",4 stars,Overall 4,Food 5,Service 5,Ambience 5
hounds4us,"Dined on August 27, 2023","Great ambiance! Service was friendly, food was perfect and tasty. Excellent start to the day!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
JulieR,"Dined on August 6, 2023","We enjoyed our dinner at State and Lake Chicago before catching Tommy at the Goodman Theater. I'm gluten intolerant and love Salmon. The chef's version was delicious. My husband had the pork chop, which he raved about. Large portions, and although the Brussels sprouts sounded tempting, we didn't order them. We were full after our entrees!  The only disappointment was only sorbet was offered as a GF dessert. Otherwise, great dinner!
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
JohnA,"Dined on July 27, 2023","Our waiter was incredible.  
The calamari kale salad was excellent but for a meal there could have been a bit more.
Thanks,
John
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
ShirleyS,"Dined on July 26, 2023",Was seated quickly.  Drinks were very good and strong.  Food arrived faster than expected and was very good.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
SharonA,"Dined on July 25, 2023",I ordered the steak fries. It was the best steak fries I have ever ordered and this is usually my go to at restaurants. I will definitely be back.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Jayl,"Dined on June 29, 2023","Service just ok and it wasn’t that busy. Came here for lunch before seeing Tommy, which was outstanding by the way. Wine way overpriced. Had 6 glasses between the 4 of us and the cost for that and 2 Turkey club sandwiches that we both split was $165. Don’t know if they added a 3% fee, I should have checked, my bad. Would no go back.",2 stars,Overall 2,Food 3,Service 3,Ambience 4
JulieAnne07,"Dined on June 26, 2023","Food was delicious, but there were many service issues once the restaurant got crowded. Thankful we were one of the first people there because many others had longer wait times than us, wrong orders, and appetizers arriving after main courses. Our drinks and appetizers were timely, but the main course was quite late and our waiter did not check on our table at all. I think he must’ve been the only one working a very crowded dining room.
Read more",4 stars,Overall 4,Food 5,Service 2,Ambience 3
cccccmmmmm,"Dined on June 25, 2023",Made a reservation and I get there and they don’t want to seat us due to staffing issues after taking my credit card at reservation. Food was extremely mid. Waiter doesn’t know anything about the beers on the menu. Just not a very good experience. Hostess was also a bit rude.,1 star,Overall 1,Food 3,Service 1,Ambience 1
LindaW,"Dined on June 22, 2023",Too many TVs on the wall; very distracting. Th e atmosphere of the restaurant was more upscale than the number of TVs would indicate.,3 stars,Overall 3,Food 3,Service 3,Ambience 3
OpenTable Diner,"Dined on June 16, 2023","If a restaurant has short ribs on the menu, I know that’s what I am getting! They did NOT disappoint. A must get!",5 stars,Overall 5,Food 5,Service 4,Ambience 5
